time,open,high,low,close,tickvol,vol
2024-02-26,131235.0,131785.0,130860.0,131285.0,3368639,13136324
2024-02-27,131850.0,133600.0,131830.0,133375.0,3325487,13034020
2024-02-28,132900.0,133080.0,131420.0,131825.0,4129062,15803034
2024-02-29,132200.0,132270.0,130270.0,130800.0,3999046,15682471
2024-03-01,130970.0,131315.0,130230.0,130500.0,3698759,14040165
2024-03-04,130680.0,130875.0,129740.0,129815.0,3213960,12146855
2024-03-05,129700.0,130520.0,129270.0,129750.0,4058493,15648447
2024-03-06,130175.0,130775.0,129880.0,130265.0,4245189,16424386
2024-03-07,130580.0,130615.0,129370.0,129685.0,3609177,14259949
2024-03-08,127500.0,128880.0,127100.0,128305.0,4846874,18711194
2024-03-11,127695.0,128240.0,127235.0,127560.0,4206335,16197890
2024-03-12,127870.0,129325.0,127805.0,128905.0,4629042,17066098
2024-03-13,128940.0,129740.0,128480.0,129325.0,3987890,15258994
2024-03-14,129550.0,129580.0,128270.0,129000.0,4369966,17081901
2024-03-15,128930.0,129060.0,127460.0,127490.0,3777439,14928572
2024-03-18,128200.0,128580.0,127270.0,127805.0,3638657,14668527
2024-03-19,127845.0,128975.0,127600.0,128585.0,4043078,16561726
2024-03-20,128460.0,130655.0,128170.0,130405.0,4884957,18802334
2024-03-21,130330.0,130510.0,128830.0,128885.0,3157683,12895767
2024-03-22,128835.0,128860.0,127625.0,127640.0,3823149,14898434
2024-03-25,127750.0,127960.0,127295.0,127565.0,3348119,12518584
2024-03-26,127650.0,127940.0,127105.0,127635.0,3488560,13132040
2024-03-27,127800.0,128480.0,126830.0,128020.0,3465876,14641978
2024-03-28,127945.0,129015.0,127815.0,128740.0,3237397,12839046
2024-04-01,128890.0,129260.0,127305.0,127500.0,3322975,13526779
2024-04-02,127650.0,128160.0,127085.0,127760.0,3964272,16039906
2024-04-03,127585.0,128210.0,126590.0,127710.0,4140522,17361320
2024-04-04,127940.0,130115.0,127555.0,127660.0,5259551,21602661
2024-04-05,127885.0,128400.0,126735.0,127175.0,5156560,20312129
2024-04-08,127350.0,129565.0,127020.0,128990.0,4160573,16186234
2024-04-09,129350.0,130385.0,129235.0,130280.0,4785742,18746052
2024-04-10,130600.0,131380.0,127915.0,128325.0,5805693,21974326
2024-04-11,127950.0,128325.0,127160.0,127440.0,4657858,18344992
2024-04-12,127750.0,127870.0,125725.0,125970.0,5010832,19317482
2024-04-15,126565.0,126785.0,125075.0,125180.0,5369216,20364976
2024-04-16,125180.0,125205.0,123755.0,124015.0,5713790,22300737
2024-04-17,126690.0,127175.0,125280.0,125930.0,5034765,18675733
2024-04-18,126370.0,126820.0,124990.0,125840.0,5188981,19756848
2024-04-19,125385.0,127170.0,125350.0,126800.0,4662056,17647919
2024-04-22,127295.0,127655.0,126125.0,127385.0,4441741,16969100
2024-04-23,127025.0,127435.0,125760.0,126570.0,4919083,18547068
2024-04-24,127040.0,127300.0,126005.0,126215.0,4546340,16893214
2024-04-25,125915.0,127255.0,125040.0,125890.0,5159966,18969149
2024-04-26,126750.0,128250.0,126250.0,128000.0,4092603,14647066
2024-04-29,127990.0,128775.0,127720.0,128690.0,4366148,15785490
2024-04-30,128320.0,128620.0,127115.0,127350.0,4468692,16713161
2024-05-02,128175.0,129035.0,127880.0,128270.0,4464268,17341469
2024-05-03,128450.0,130315.0,127845.0,130175.0,4705529,17298272
2024-05-06,130415.0,130485.0,129480.0,129670.0,3912477,14922680
2024-05-07,129670.0,130975.0,129600.0,130355.0,3918346,15216862
2024-05-08,129900.0,131515.0,129150.0,130925.0,4031668,16143965
2024-05-09,129600.0,129670.0,128385.0,129650.0,4842688,17949244
2024-05-10,129600.0,130025.0,128525.0,128730.0,4294008,16316176
2024-05-13,129270.0,129720.0,128650.0,129300.0,4086431,15249342
2024-05-14,128715.0,129965.0,128510.0,129735.0,4647444,17749580
2024-05-15,128230.0,129300.0,127610.0,129210.0,4962687,18933286
2024-05-16,129170.0,129995.0,128700.0,129105.0,4420597,17079908
2024-05-17,129350.0,129375.0,128420.0,129200.0,3844260,14725415
2024-05-20,129350.0,129530.0,128165.0,128480.0,4137975,16140199
